,id,nombre,url_link,url_site,DA,DF,DR,PA,UR,trust_flow,is_mine,is_offer,max_links,peffer_pvp,ppvp,visits_month,sponsored_mark,language,blog_topics,country,link_type,medioTematico,medioTipo,model
51,6862,ScoopEarth,https://www.scoopearth.com/,https://panel.teblogueo.com/medios,60.0,46.0,,55.0,,22.0,False,False,1.0,141.11,151.41,,False,,,,,,,blogs.blog
52,1218,El mostrador,https://www.elmostrador.cl/,https://panel.teblogueo.com/medios,78.0,51.0,,54.0,,56.0,False,False,1.0,1332.82,1361.66,6100000.0,False,,,,,,,blogs.blog
53,2003,El diario de Yucatán,https://www.yucatan.com.mx/,https://panel.teblogueo.com/medios,75.0,48.0,,54.0,,47.0,False,False,3.0,166.86,202.91,2300000.0,False,,,,,,,blogs.blog
54,2126,El tiempo,https://blogs.eltiempo.com/,https://panel.teblogueo.com/medios,91.0,0.0,,54.0,,0.0,False,False,1.0,125.66,125.66,718000.0,False,,,,,,,blogs.blog
55,2263,Interempresas,https://www.interempresas.net/,https://panel.teblogueo.com/medios,74.0,54.0,,54.0,,47.0,False,False,1.0,223.51,223.51,906000.0,False,,,,,,,blogs.blog
56,2386,Qué!,https://www.que.es/,https://panel.teblogueo.com/medios,83.0,48.0,,54.0,,40.0,False,False,3.0,110.21,125.66,848000.0,False,,,,,,,blogs.blog
57,2420,Diario de Valladolid - Sponsored,https://diariodevalladolid.elmundo.es/,https://panel.teblogueo.com/medios,94.0,9.0,,54.0,,0.0,False,False,1.0,94.76,94.76,324000.0,True,,,,,,,blogs.blog
58,3118,Mamabee,https://mamabee.com,https://panel.teblogueo.com/medios,78.0,43.0,,54.0,,17.0,False,False,1.0,156.56,280.16,12800.0,False,,,,,,,blogs.blog
59,3128,Ventsmagazine,https://ventsmagazine.com,https://panel.teblogueo.com/medios,61.0,46.0,,54.0,,25.0,False,False,2.0,124.63,228.66,42200.0,False,,,,,,,blogs.blog
60,3321,Diario la verdad,http://www.laverdad.com/,https://panel.teblogueo.com/medios,70.0,47.0,,54.0,,48.0,False,False,3.0,51.5,53.56,370000.0,False,,,,,,,blogs.blog
61,4953,Psicología online - No Follow,https://www.psicologia-online.com/,https://panel.teblogueo.com/medios,70.0,49.0,,54.0,,48.0,False,False,1.0,166.86,167.89,3800000.0,False,,,,,,,blogs.blog
62,4957,Ecología verde - No Follow,https://www.ecologiaverde.com/,https://panel.teblogueo.com/medios,69.0,48.0,,54.0,,16.0,False,False,1.0,166.86,167.89,1400000.0,False,,,,,,,blogs.blog
63,5008,AD Magazine - medio especial - site spécial,https://www.admagazine.fr/,https://panel.teblogueo.com/medios,62.0,46.0,,54.0,,30.0,False,False,1.0,5172.66,5172.66,473000.0,False,,,,,,,blogs.blog
64,5318,Targatocn,https://www.targatocn.it/,https://panel.teblogueo.com/medios,55.0,53.0,,54.0,,46.0,False,False,2.0,290.46,290.46,2990000.0,False,,,,,,,blogs.blog
65,5391,timebusinessnews.com,https://timebusinessnews.com/,https://panel.teblogueo.com/medios,66.0,50.0,,54.0,,22.0,False,False,1.0,125.66,146.26,,False,,,,,,,blogs.blog
66,5979,velo101.com,https://www.velo101.com/,https://panel.teblogueo.com/medios,57.0,45.0,,54.0,,51.0,False,False,1.0,2082.66,2092.96,,False,,,,,,,blogs.blog
67,6892,The Bragging Mommy,https://www.thebraggingmommy.com/,https://panel.teblogueo.com/medios,34.0,19.0,,54.0,,13.0,False,False,1.0,166.86,177.16,,False,,,,,,,blogs.blog
68,7049,Bolivia,https://www.bolivia.com/,https://panel.teblogueo.com/medios,63.0,46.0,,54.0,,50.0,False,False,2.0,640.66,692.16,,False,,,,,,,blogs.blog
69,154,Andalucía Información,https://andaluciainformacion.es,https://panel.teblogueo.com/medios,73.0,44.0,,53.0,,39.0,False,False,2.0,177.16,187.46,300000.0,False,,,,,,,blogs.blog
70,255,Marketing Directo - Sponsored,https://www.marketingdirecto.com/,https://panel.teblogueo.com/medios,77.0,50.0,,53.0,,54.0,False,False,1.0,208.06,331.66,153000.0,True,,,,,,,blogs.blog
71,258,Decoración 2.0,https://decoracion2.com/,https://panel.teblogueo.com/medios,71.0,41.0,,53.0,,36.0,False,False,4.0,352.26,393.46,107700.0,False,,,,,,,blogs.blog
72,262,Opendeco,https://decoracion2.com/opendeco/,https://panel.teblogueo.com/medios,66.0,41.0,,53.0,,36.0,False,False,4.0,166.86,187.46,64000.0,False,,,,,,,blogs.blog
73,2279,Cinemascomics,https://www.cinemascomics.com/,https://panel.teblogueo.com/medios,66.0,46.0,,53.0,,21.0,False,False,1.0,177.16,280.16,2230000.0,False,,,,,,,blogs.blog
74,3088,MCE TV,https://mcetv.fr/,https://panel.teblogueo.com/medios,74.0,35.0,,53.0,,24.0,False,False,2.0,537.66,537.66,144000.0,False,,,,,,,blogs.blog
75,3129,Dailynews Hungary,https://dailynewshungary.com,https://panel.teblogueo.com/medios,67.0,51.0,,53.0,,23.0,False,False,2.0,228.66,269.86,248700.0,False,,,,,,,blogs.blog
76,4955,Recetas gratis - No Follow,https://www.recetasgratis.net/,https://panel.teblogueo.com/medios,73.0,46.0,,53.0,,41.0,False,False,1.0,166.86,167.89,3300000.0,False,,,,,,,blogs.blog
77,5118,Programming Insider,https://programminginsider.com/,https://panel.teblogueo.com/medios,57.0,51.0,,53.0,,21.0,False,False,1.0,156.56,166.86,47700.0,False,,,,,,,blogs.blog
78,6029,casaydiseno.com,https://casaydiseno.com/,https://panel.teblogueo.com/medios,68.0,41.0,,53.0,,14.0,False,False,1.0,321.36,331.66,,False,,,,,,,blogs.blog
79,557,El Correo de Andalucía,https://elcorreoweb.es/,https://panel.teblogueo.com/medios,77.0,48.0,,52.0,,27.0,False,False,3.0,640.66,640.66,1200000.0,False,,,,,,,blogs.blog
80,1549,Somos Malasaña - El Diario,https://www.eldiario.es/madrid/somos/malasana/,https://panel.teblogueo.com/medios,89.0,15.0,,52.0,,3.0,False,False,4.0,280.16,280.16,25800000.0,True,,,,,,,blogs.blog
81,1913,EcoInventos,https://ecoinventos.com,https://panel.teblogueo.com/medios,74.0,47.0,,52.0,,21.0,False,False,2.0,208.06,228.66,1100000.0,False,,,,,,,blogs.blog
82,1966,Noticias de la Ciencia y la Tecnología,https://noticiasdelaciencia.com/,https://panel.teblogueo.com/medios,64.0,28.0,,52.0,,27.0,False,False,3.0,74.16,84.46,66600.0,False,,,,,,,blogs.blog
83,2001,Diario de Juarez,https://diario.mx/,https://panel.teblogueo.com/medios,77.0,51.0,,52.0,,48.0,False,False,3.0,568.56,630.36,3200000.0,False,,,,,,,blogs.blog
84,2156,Noticias 24 Carabobo,https://noticias24carabobo.com/,https://panel.teblogueo.com/medios,76.0,46.0,,52.0,,23.0,False,False,3.0,89.61,99.91,45700.0,False,,,,,,,blogs.blog
85,2553,El Siglo de Torreón,https://www.elsiglodetorreon.com.mx,https://panel.teblogueo.com/medios,84.0,48.0,,52.0,,47.0,False,False,3.0,253.38,290.46,994900.0,False,,,,,,,blogs.blog
86,2830,El Blog Verde,https://www.elblogverde.com,https://panel.teblogueo.com/medios,57.0,27.0,,52.0,,18.0,False,False,1.0,228.66,228.66,46900.0,False,,,,,,,blogs.blog
87,4688,Whats New2 Day,https://whatsnew2day.com/,https://panel.teblogueo.com/medios,61.0,43.0,,52.0,,21.0,False,False,1.0,141.11,146.26,,False,,,,,,,blogs.blog
88,4887,Noticias SIN,https://noticiassin.com,https://panel.teblogueo.com/medios,80.0,40.0,,52.0,,20.0,False,False,1.0,338.87,338.87,525800.0,False,,,,,,,blogs.blog
89,4954,Para bebés - No Follow,https://www.parabebes.com/,https://panel.teblogueo.com/medios,62.0,37.0,,52.0,,41.0,False,False,1.0,166.86,167.89,118400.0,False,,,,,,,blogs.blog
90,4958,Salir - No Follow,https://www.salir.com/,https://panel.teblogueo.com/medios,60.0,42.0,,52.0,,23.0,False,False,1.0,166.86,167.89,532500.0,False,,,,,,,blogs.blog
91,4972,Corresponsables,https://www.corresponsables.com,https://panel.teblogueo.com/medios,56.0,42.0,,52.0,,20.0,False,False,3.0,280.16,331.66,54300.0,False,,,,,,,blogs.blog
92,5067,Redacción Médica,https://www.redaccionmedica.com/,https://panel.teblogueo.com/medios,76.0,58.0,,52.0,,23.0,False,False,1.0,1773.66,1773.66,2400000.0,False,,,,,,,blogs.blog
93,5286,Lukor,https://www.lukor.com,https://panel.teblogueo.com/medios,64.0,24.0,,52.0,,19.0,False,False,1.0,105.06,125.66,0.0,False,,,,,,,blogs.blog
94,5794,slamxhype.com,https://slamxhype.com/,https://panel.teblogueo.com/medios,56.0,38.0,,52.0,,12.0,False,False,1.0,177.16,187.46,,False,,,,,,,blogs.blog
95,6041,Extremnews,https://www.extremnews.com/,https://panel.teblogueo.com/medios,51.0,44.0,,52.0,,19.0,False,False,2.0,294.58,269.86,122000.0,False,,,,,,,blogs.blog
96,7014,Economipedia,http://economipedia.com,https://panel.teblogueo.com/medios,71.0,35.0,,52.0,,23.0,False,False,2.0,867.26,949.66,1040000.0,False,,,,,,,blogs.blog
97,403,Series adictos (Bolsamanía),https://www.bolsamania.com/seriesadictos/,https://panel.teblogueo.com/medios,82.0,52.0,,51.0,,50.0,False,False,1.0,94.76,105.06,3300000.0,False,,,,,,,blogs.blog
98,416,e-architect,https://www.e-architect.co.uk/,https://panel.teblogueo.com/medios,66.0,37.0,,51.0,,28.0,False,False,1.0,182.31,187.46,766.0,False,,,,,,,blogs.blog
99,593,Periódico AM,https://www.am.com.mx/,https://panel.teblogueo.com/medios,79.0,42.0,,51.0,,45.0,False,False,3.0,749.48,749.48,6700000.0,True,,,,,,,blogs.blog
100,1467,"ECOticias, el periódico verde.",https://www.ecoticias.com/,https://panel.teblogueo.com/medios,71.0,53.0,,51.0,,52.0,False,False,1.0,398.61,481.01,138100.0,False,,,,,,,blogs.blog
101,1742,El Progreso,https://www.elprogreso.es/,https://panel.teblogueo.com/medios,65.0,54.0,,51.0,,49.0,False,False,3.0,125.66,208.06,5700000.0,False,,,,,,,blogs.blog
102,2011,e-consulta,https://www.e-consulta.com/,https://panel.teblogueo.com/medios,74.0,46.0,,51.0,,20.0,False,False,3.0,151.41,192.61,706600.0,False,,,,,,,blogs.blog
103,2503,Analítica,https://www.analitica.com,https://panel.teblogueo.com/medios,71.0,29.0,,51.0,,30.0,False,False,2.0,58.71,63.86,93000.0,False,,,,,,,blogs.blog
104,2845,Espacio Hogar,https://www.espaciohogar.com,https://panel.teblogueo.com/medios,60.0,29.0,,51.0,,14.0,False,False,1.0,434.66,434.66,324500.0,False,,,,,,,blogs.blog
105,2852,Orientación Andújar,https://www.orientacionandujar.es/,https://panel.teblogueo.com/medios,79.0,47.0,,51.0,,20.0,False,False,4.0,110.21,120.51,1200000.0,False,,,,,,,blogs.blog
106,3090,Epoch Times,https://www.epochtimes.de/,https://panel.teblogueo.com/medios,77.0,55.0,,51.0,,49.0,False,False,2.0,871.38,846.66,3300000.0,False,,,,,,,blogs.blog
107,3122,NatureWorldNews,https://natureworldnews.com,https://panel.teblogueo.com/medios,71.0,26.0,,51.0,,23.0,False,False,2.0,280.16,290.46,99500.0,False,,,,,,,blogs.blog
